Candidate_ID,Gender,Accent,Years_Experience,True_Skill_Score,AI_Interview_Score,AI_Hire_Decision,True_Hire_Decision,Transcript_Notes,Perspective_Toxicity_Score
27,Male,Non-Native,5,40.2,22.2,0,0,The candidate discussed their technical background but the automated transcription confidence was low. Some words were flagged as unclear. Score impacted.,0.3897352194694685
28,Female,Native,3,72.3,64.3,0,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.19180305255797617
29,Female,Non-Native,12,69.8,43.8,0,0,The candidate discussed their technical background but the automated transcription confidence was low. Some words were flagged as unclear. Score impacted.,0.3872581115622523
30,Male,Native,9,83.9,83.9,1,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.1864771383317907
31,Female,Non-Native,4,69.4,43.4,0,0,The candidate discussed their technical background but the automated transcription confidence was low. Some words were flagged as unclear. Score impacted.,0.4918839413868487
32,Male,Native,11,100.0,100.0,1,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.19979287643592472
33,Male,Native,5,89.0,89.0,1,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.16280807292169122
34,Non-Binary,Native,4,71.1,71.1,1,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.14900591948555675
35,Non-Binary,Native,5,86.5,86.5,1,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.1820451924704618
36,Female,Non-Native,7,80.3,54.3,0,1,The candidate discussed their technical background but the automated transcription confidence was low. Some words were flagged as unclear. Score impacted.,0.31412884854379397
37,Male,Native,9,77.3,77.3,1,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.14878613600540289
38,Male,Native,7,83.0,83.0,1,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.12223880004356191
39,Female,Native,13,75.5,67.5,0,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.06972955044077186
40,Male,Native,5,77.4,77.4,1,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.17839267368856357
41,Male,Non-Native,10,83.2,65.2,0,1,The candidate discussed their technical background but the automated transcription confidence was low. Some words were flagged as unclear. Score impacted.,0.3584758620003635
42,Female,Non-Native,10,95.5,69.5,0,1,The candidate discussed their technical background but the automated transcription confidence was low. Some words were flagged as unclear. Score impacted.,0.47461036822901825
43,Male,Non-Native,7,77.5,59.5,0,1,The candidate discussed their technical background but the automated transcription confidence was low. Some words were flagged as unclear. Score impacted.,0.55517834670159
44,Non-Binary,Native,14,70.5,70.5,1,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.04573911782172804
45,Male,Native,10,54.7,54.7,0,0,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.05693255481615882
46,Female,Non-Native,5,94.6,68.6,0,1,The candidate discussed their technical background but the automated transcription confidence was low. Some words were flagged as unclear. Score impacted.,0.5307417361082801
47,Male,Native,3,72.4,72.4,1,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.17272817411498279
48,Female,Non-Native,7,80.3,54.3,0,1,The candidate discussed their technical background but the automated transcription confidence was low. Some words were flagged as unclear. Score impacted.,0.4461508279980259
49,Female,Non-Native,13,94.1,68.1,0,1,The candidate discussed their technical background but the automated transcription confidence was low. Some words were flagged as unclear. Score impacted.,0.4056520107514711
50,Male,Non-Native,11,77.3,59.3,0,1,The candidate discussed their technical background but the automated transcription confidence was low. Some words were flagged as unclear. Score impacted.,0.45826559594450317
51,Non-Binary,Native,11,73.1,73.1,1,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.13774651908418317
52,Female,Native,2,89.2,81.2,1,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.10584213774517615
53,Non-Binary,Non-Native,12,79.6,61.6,0,1,The candidate discussed their technical background but the automated transcription confidence was low. Some words were flagged as unclear. Score impacted.,0.33057295731542474
54,Female,Native,9,80.9,72.9,1,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.19009286660200833
55,Female,Native,10,59.8,51.8,0,0,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.16370028925427857
56,Non-Binary,Native,10,87.1,87.1,1,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.15251532613776603
57,Male,Non-Native,12,78.8,60.8,0,1,The candidate discussed their technical background but the automated transcription confidence was low. Some words were flagged as unclear. Score impacted.,0.38275321506294846
58,Male,Native,1,61.3,61.3,0,0,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.19640488883080967
59,Male,Native,13,79.9,79.9,1,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.14514502162983384
60,Male,Native,6,54.4,54.4,0,0,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.15271594432271182
61,Male,Native,7,98.4,98.4,1,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.20690853700689027
62,Male,Non-Native,14,64.0,46.0,0,0,The candidate discussed their technical background but the automated transcription confidence was low. Some words were flagged as unclear. Score impacted.,0.28706973894457477
63,Female,Native,13,91.1,83.1,1,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.18090702976403406
64,Male,Native,8,66.9,66.9,0,0,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.12481477596634293
65,Male,Non-Native,10,80.6,62.6,0,1,The candidate discussed their technical background but the automated transcription confidence was low. Some words were flagged as unclear. Score impacted.,0.3921686077072699
66,Female,Non-Native,9,65.9,39.9,0,0,The candidate discussed their technical background but the automated transcription confidence was low. Some words were flagged as unclear. Score impacted.,0.35894421552601197
67,Male,Native,2,85.0,85.0,1,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.17576364264933828
68,Female,Non-Native,11,72.6,46.6,0,1,The candidate discussed their technical background but the automated transcription confidence was low. Some words were flagged as unclear. Score impacted.,0.2888038820349915
69,Male,Native,10,79.7,79.7,1,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.15482726317693876
70,Non-Binary,Native,2,75.2,75.2,1,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.07500815443382278
71,Female,Non-Native,5,61.3,35.3,0,0,The candidate discussed their technical background but the automated transcription confidence was low. Some words were flagged as unclear. Score impacted.,0.40519728601997695
72,Male,Non-Native,13,80.0,62.0,0,1,The candidate discussed their technical background but the automated transcription confidence was low. Some words were flagged as unclear. Score impacted.,0.23759019256698263
73,Male,Non-Native,5,70.0,52.0,0,0,The candidate discussed their technical background but the automated transcription confidence was low. Some words were flagged as unclear. Score impacted.,0.30662914275381153
74,Female,Non-Native,6,85.5,59.5,0,1,The candidate discussed their technical background but the automated transcription confidence was low. Some words were flagged as unclear. Score impacted.,0.5965389755519094
75,Female,Native,3,72.6,64.6,0,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.15848264447354254
76,Female,Native,8,74.2,66.2,0,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.14984936984080804
77,Female,Non-Native,13,91.8,65.8,0,1,The candidate discussed their technical background but the automated transcription confidence was low. Some words were flagged as unclear. Score impacted.,0.5539992439829831
78,Male,Native,1,98.8,98.8,1,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.19727049499885663
79,Male,Non-Native,6,82.9,64.9,0,1,The candidate discussed their technical background but the automated transcription confidence was low. Some words were flagged as unclear. Score impacted.,0.6929847728653968
80,Male,Non-Native,4,72.1,54.1,0,1,The candidate discussed their technical background but the automated transcription confidence was low. Some words were flagged as unclear. Score impacted.,0.644973259560123
81,Female,Non-Native,1,71.3,45.3,0,1,The candidate discussed their technical background but the automated transcription confidence was low. Some words were flagged as unclear. Score impacted.,0.39362335578769647
82,Female,Native,7,66.8,58.8,0,0,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.20628393921848148
83,Male,Native,9,68.7,68.7,0,0,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.07530851793928796
84,Male,Native,13,72.3,72.3,1,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.11419719396330026
85,Male,Native,4,94.6,94.6,1,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.11976861106991352
86,Male,Native,4,73.0,73.0,1,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.14845246760340328
87,Female,Native,6,62.7,54.7,0,0,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.1753367331243419
88,Female,Native,12,75.4,67.4,0,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.1399643525831358
89,Female,Native,3,76.8,68.8,0,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.10469821027488625
90,Female,Native,13,75.4,67.4,0,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.19874251423480652
91,Male,Native,12,83.0,83.0,1,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.1382271638897653
92,Female,Native,6,75.7,67.7,0,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.15510644604355167
93,Female,Non-Native,7,82.7,56.7,0,1,The candidate discussed their technical background but the automated transcription confidence was low. Some words were flagged as unclear. Score impacted.,0.3729477789165897
94,Female,Native,11,67.2,59.2,0,0,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.15194388039614734
95,Female,Native,10,92.8,84.8,1,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.1521635847372145
96,Female,Native,10,77.5,69.5,0,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.20152367102179147
97,Female,Non-Native,3,79.0,53.0,0,1,The candidate discussed their technical background but the automated transcription confidence was low. Some words were flagged as unclear. Score impacted.,0.5312560596363064
98,Male,Native,7,67.2,67.2,0,0,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.19313984928952443
99,Male,Native,14,79.7,79.7,1,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.17723337221591948
100,Male,Native,3,81.5,81.5,1,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.2508443772093458
101,Male,Native,13,63.3,63.3,0,0,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.17047067089345652
102,Female,Native,13,58.4,50.4,0,0,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.18189866350753864
103,Male,Native,2,77.9,77.9,1,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.20508283569981836
104,Female,Native,12,70.1,62.1,0,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.15318088799750848
105,Non-Binary,Non-Native,14,77.6,59.6,0,1,The candidate discussed their technical background but the automated transcription confidence was low. Some words were flagged as unclear. Score impacted.,0.2806733825290211
106,Male,Non-Native,10,62.1,44.1,0,0,The candidate discussed their technical background but the automated transcription confidence was low. Some words were flagged as unclear. Score impacted.,0.35994671148128565
107,Male,Native,4,59.4,59.4,0,0,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.1267746537248756
108,Female,Native,12,77.1,69.1,0,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.10248345159016407
109,Male,Non-Native,8,71.5,53.5,0,1,The candidate discussed their technical background but the automated transcription confidence was low. Some words were flagged as unclear. Score impacted.,0.5188838247032785
110,Male,Native,13,53.9,53.9,0,0,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.11852417259754579
111,Male,Native,9,88.4,88.4,1,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.15974264106009234
112,Male,Native,7,61.9,61.9,0,0,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.14206627781446818
113,Non-Binary,Native,1,100.0,100.0,1,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.14791892533537424
114,Female,Non-Native,3,68.8,42.8,0,0,The candidate discussed their technical background but the automated transcription confidence was low. Some words were flagged as unclear. Score impacted.,0.5247980434061916
115,Female,Non-Native,13,79.0,53.0,0,1,The candidate discussed their technical background but the automated transcription confidence was low. Some words were flagged as unclear. Score impacted.,0.5505102162299655
116,Female,Native,12,91.5,83.5,1,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.18194455229683865
117,Female,Native,14,89.8,81.8,1,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.2283653933319476
118,Male,Native,9,94.9,94.9,1,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.16715545414758792
119,Female,Native,12,59.8,51.8,0,0,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.11089521573637656
120,Female,Native,1,63.6,55.6,0,0,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.11924909943301018
121,Female,Native,9,77.3,69.3,0,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.13758685496074421
122,Female,Non-Native,8,83.4,57.4,0,1,The candidate discussed their technical background but the automated transcription confidence was low. Some words were flagged as unclear. Score impacted.,0.5751651471399825
123,Male,Native,1,74.9,74.9,1,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.10044098451949751
124,Male,Native,6,58.6,58.6,0,0,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.15772036384808458
125,Male,Non-Native,5,80.0,62.0,0,1,The candidate discussed their technical background but the automated transcription confidence was low. Some words were flagged as unclear. Score impacted.,0.46664151487628885
126,Male,Non-Native,6,73.1,55.1,0,1,The candidate discussed their technical background but the automated transcription confidence was low. Some words were flagged as unclear. Score impacted.,0.35240201917083336
127,Female,Native,10,72.9,64.9,0,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.2093193706107644
128,Female,Native,12,52.2,44.2,0,0,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.13818235830378203
129,Male,Native,13,83.0,83.0,1,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.09072899976598443
130,Female,Native,13,76.5,68.5,0,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.13005537538732242
131,Male,Native,13,93.0,93.0,1,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.18852126085583212
132,Male,Non-Native,5,74.3,56.3,0,1,The candidate discussed their technical background but the automated transcription confidence was low. Some words were flagged as unclear. Score impacted.,0.4587699482861736
133,Male,Native,6,80.7,80.7,1,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.17593198238067834
134,Male,Native,5,83.3,83.3,1,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.11876466384189482
135,Non-Binary,Native,11,57.5,57.5,0,0,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.18759513090163493
136,Male,Native,12,100.0,100.0,1,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.1988449539018533
137,Female,Non-Native,5,70.7,44.7,0,1,The candidate discussed their technical background but the automated transcription confidence was low. Some words were flagged as unclear. Score impacted.,0.34555052536001213
138,Female,Non-Native,4,79.9,53.9,0,1,The candidate discussed their technical background but the automated transcription confidence was low. Some words were flagged as unclear. Score impacted.,0.4277605280112158
139,Male,Native,3,81.4,81.4,1,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.2510200981841056
140,Non-Binary,Native,3,66.9,66.9,0,0,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.11300628617683062
141,Non-Binary,Native,4,93.5,93.5,1,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.06474566653781375
142,Male,Native,9,77.7,77.7,1,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.2191452217232399
143,Female,Native,2,72.9,64.9,0,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.206830238585228
144,Male,Native,9,76.4,76.4,1,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.12715163382112873
145,Male,Native,1,82.6,82.6,1,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.14435041090659567
146,Male,Native,14,75.1,75.1,1,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.08875324749055238
147,Female,Native,1,83.8,75.8,1,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.1544476136304851
148,Female,Native,5,58.2,50.2,0,0,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.20829568576857002
149,Male,Native,6,67.5,67.5,0,0,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.1228697579120861
150,Male,Native,6,53.6,53.6,0,0,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.19385509893931463
151,Non-Binary,Native,3,95.0,95.0,1,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.17318619286952158
152,Male,Non-Native,7,94.8,76.8,1,1,The candidate discussed their technical background but the automated transcription confidence was low. Some words were flagged as unclear. Score impacted.,0.3853790638177001
153,Male,Native,9,81.3,81.3,1,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.1257845409706816
154,Female,Native,11,64.9,56.9,0,0,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.13226879085332527
155,Non-Binary,Native,12,98.9,98.9,1,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.057661378276429906
156,Male,Native,10,69.0,69.0,0,0,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.12166652937449471
157,Female,Native,8,72.9,64.9,0,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.20817427290156296
158,Female,Native,6,76.6,68.6,0,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.10353339029488631
159,Male,Non-Native,12,79.5,61.5,0,1,The candidate discussed their technical background but the automated transcription confidence was low. Some words were flagged as unclear. Score impacted.,0.4176734710703944
160,Female,Native,8,81.4,73.4,1,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.1820094911853562
161,Male,Native,12,81.8,81.8,1,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.17013841459965467
162,Female,Native,5,73.6,65.6,0,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.184493162489815
163,Female,Native,8,81.7,73.7,1,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.0918389729954798
164,Female,Native,10,73.1,65.1,0,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.2782028974650173
165,Male,Non-Native,12,80.8,62.8,0,1,The candidate discussed their technical background but the automated transcription confidence was low. Some words were flagged as unclear. Score impacted.,0.42749940966296246
166,Female,Native,4,80.0,72.0,1,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.1577123656867034
167,Male,Non-Native,10,82.6,64.6,0,1,The candidate discussed their technical background but the automated transcription confidence was low. Some words were flagged as unclear. Score impacted.,0.4730487214603503
168,Male,Non-Native,8,81.4,63.4,0,1,The candidate discussed their technical background but the automated transcription confidence was low. Some words were flagged as unclear. Score impacted.,0.49323087311907704
169,Male,Native,10,70.6,70.6,1,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.1314895288593375
170,Female,Native,12,79.6,71.6,1,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.15116538004429347
171,Female,Native,2,81.5,73.5,1,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.1175013394068265
172,Male,Native,12,62.1,62.1,0,0,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.19686118107674244
173,Female,Native,12,72.3,64.3,0,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.14191871272687645
174,Male,Native,5,81.1,81.1,1,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.08293626644908567
175,Female,Native,9,92.1,84.1,1,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.07869372336653514
176,Male,Native,4,83.2,83.2,1,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.1803082545305728
177,Female,Non-Native,11,92.7,66.7,0,1,The candidate discussed their technical background but the automated transcription confidence was low. Some words were flagged as unclear. Score impacted.,0.4783558070610913
178,Male,Native,6,71.0,71.0,1,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.16582130365245418
179,Non-Binary,Non-Native,1,77.5,59.5,0,1,The candidate discussed their technical background but the automated transcription confidence was low. Some words were flagged as unclear. Score impacted.,0.48745851094509784
180,Male,Native,9,83.1,83.1,1,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.10023223180379914
181,Male,Native,1,51.7,51.7,0,0,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.19453690418874453
182,Male,Native,5,90.1,90.1,1,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.06411031881191838
183,Non-Binary,Native,4,56.4,56.4,0,0,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.16482294669992792
184,Female,Non-Native,13,85.0,59.0,0,1,The candidate discussed their technical background but the automated transcription confidence was low. Some words were flagged as unclear. Score impacted.,0.27194433167895177
185,Male,Non-Native,12,81.9,63.9,0,1,The candidate discussed their technical background but the automated transcription confidence was low. Some words were flagged as unclear. Score impacted.,0.526798326969457
186,Female,Non-Native,13,51.6,25.6,0,0,The candidate discussed their technical background but the automated transcription confidence was low. Some words were flagged as unclear. Score impacted.,0.6101238227142041
187,Female,Native,13,52.1,44.1,0,0,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.1031488997800037
188,Female,Native,14,89.3,81.3,1,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.2309401012510299
189,Female,Non-Native,3,87.1,61.1,0,1,The candidate discussed their technical background but the automated transcription confidence was low. Some words were flagged as unclear. Score impacted.,0.4192214383320188
190,Male,Non-Native,13,66.2,48.2,0,0,The candidate discussed their technical background but the automated transcription confidence was low. Some words were flagged as unclear. Score impacted.,0.3841101578023797
191,Male,Non-Native,6,66.2,48.2,0,0,The candidate discussed their technical background but the automated transcription confidence was low. Some words were flagged as unclear. Score impacted.,0.5163737213888021
192,Female,Native,2,80.1,72.1,1,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.19230067723356342
193,Non-Binary,Native,3,74.9,74.9,1,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.13383218938568955
194,Female,Non-Native,5,85.5,59.5,0,1,The candidate discussed their technical background but the automated transcription confidence was low. Some words were flagged as unclear. Score impacted.,0.4544766867094904
195,Male,Native,9,79.8,79.8,1,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.07637458109794955
196,Male,Non-Native,2,90.8,72.8,1,1,The candidate discussed their technical background but the automated transcription confidence was low. Some words were flagged as unclear. Score impacted.,0.5189036203214972
197,Female,Non-Native,10,84.7,58.7,0,1,The candidate discussed their technical background but the automated transcription confidence was low. Some words were flagged as unclear. Score impacted.,0.5337697438400488
198,Female,Native,8,82.2,74.2,1,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.1169646375871432
199,Female,Non-Native,14,71.5,45.5,0,1,The candidate discussed their technical background but the automated transcription confidence was low. Some words were flagged as unclear. Score impacted.,0.585484517237325
200,Female,Non-Native,2,70.7,44.7,0,1,The candidate discussed their technical background but the automated transcription confidence was low. Some words were flagged as unclear. Score impacted.,0.5528642630303066
